0.31037116,-54.86269,1246.4777
0.7817285,-54.274136,1248.2571
2.583062,-54.81673,1237.8859
1.2716167,-55.776344,1234.3601
0.65120995,-58.495125,1226.0646
0.3080417,-54.935688,1237.5616
-0.133091,-53.1583,1242.9866
27.34885,-6.0486317,1328.9604
6.2558513,-37.939453,1264.8496
1.2970912,-46.45669,1262.256
1.8192965,-45.20304,1266.7278
0.9169051,-45.836105,1268.8601
0.9374936,-46.115967,1265.6455
-0.045243192,-46.564857,1267.0156
-2.2809796,-49.298157,1263.1296
-4.498776,-50.3151,1262.4353
-3.9175682,-48.841385,1265.6677
-9.855361,-46.454247,1273.5287
-8.732686,-47.075752,1268.6952
-8.89194,-44.59079,1268.7107
-9.15357,-43.207283,1268.8228
-10.192145,-41.01661,1277.3638
-8.896134,-41.077244,1273.8071
-8.353124,-40.849087,1272.9985
-8.765389,-35.79971,1267.9702
-8.443516,-36.571926,1269.2595
-7.6846337,-33.69336,1266.4753
-5.778511,-26.4499,1269.717
-9.817366,-25.30665,1251.6501
